"tickers","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"GLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XLU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VPU",0.000798216712479198,0.000798216712479198,0.0000000000000000555111512312578,0.0000000000000000274394110512133,-0.0000000000000000134333768809195,0.414903709942011,0.278139712867026,0.344645895265406,0.488888734180865,0.000000000000000369829842382057,0.0985290604855654,0.0111001209288499,0.161614525625085,0,0.0595081849580394,0.169140552066689,0.000000000000000571031315058548,0.00000000000000012554391359233,0.0589937337745374,0.348914409580659,0.000000000000000405736640596258,0.000000000000000112167280808862,-0.000000000000000410140446612906,0.0000000000000000138777878078145,0.227653452455877,-0.000000000000000119980101288871,0.000000000000000651073283969274,-0.00000000000000126353181912094,-0.000000000000000747806588508018,0.000000000000000533897331840395,0.0000000000000000528715878061681,0.000000000000000518706898198791,0.000000000000000386163700079279,0.265059749201122,0,0.00000000000000000300158331158386,0.361077037181835,0.0000000000000000309103348004597,0.0435605575843,-0.0000000000000000751178164725686,0.1470319708192,0.118499463437698,0.126853160629213,0.0469212226095056,0,0.190931711255751,0,0.209782886097812,0.0000000000000000289727515237645,0.025307176264136,0.0701143104544182,0.122638411211386,0.125973035964952,0.00000000000000001253805094601,0.03495756289872,-0.0000000000000000138493699674464,0.0699921513973572,0.403819555335481,0.0000000000000000927118648358382,0.000000000000000496799400962197,-0.0000000000000000288276632840988,0.208519328257177,0.0000000000000000291127013140585,0.000000000000000619119248171328,0,0,0.0000000000000000555111512312578,-0.000000000000000081826998787214,0.000000000000000245873559676546,0.000000000000000179655297667837,-0.000000000000000137036916147184,0.262740362275948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDU",-0.000000000000000115793865831114,-0.000000000000000115793865831114,0.22830580348921,0.0000000000000000816549177984148,0.000000000000000072105163198144,0.000000000000000731655880970648,-0.000000000000000224943871664798,0.12522453704255,0.0442102274101377,0.0000000000000000147362211922471,0.0450213845202424,0,0.0128833898165481,0.313628174793359,0.00000000000000000778693722345185,0.136104677805939,0.157584574308626,-0.000000000000000258056127614281,0.000000000000000097479493556931,0,0.211675141244908,0.028845783320413,-0.0000000000000000117131597118159,0.345493038041038,0,-0.00000000000000000337038735416844,-0.00000000000000000191566585815114,0.0247394042685978,0.0000000000000000281155935361479,0,0.0000000000000000118709270568102,-0.00000000000000000379460812943667,0.0000000000000000100477542066842,0.0455879466204714,0.0000000000000000198014103409214,0.159103313803071,0.0000000000000000176366551120399,0.0749554145946703,0.213344190252483,0.138145012890859,0.28747538894795,0,0.382135261781044,0.147564162914126,0.0000000000000000822858792205195,0.028416580290993,0.0000000000000000508603775000077,-0.000000000000000519478589093607,0.224905414058957,-0.0000000000000000387107229947076,0.00000000000000000459731793171665,0.0000000000000000333891885621915,0.068698753681956,0.184638630654688,0.00000000000000000102757158287581,0.104414654030488,-0.0000000000000000760673884669839,0.000000000000000218733716159499,0.47883726234855,0.504612936250574,0.326530707199884,0.000000000000000103614242600441,0.000000000000000187736003335894,0.196015712368523,-0.0000000000000000341527491968041,-0.0000000000000000351072135014605,0.0000000000000000667857542961715,0.000000000000000000669663825766108,-0.0000000000000000138777878078145,0.274116545006625,0.0673024444913423,0.0895109299700176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RYU",0,0,-0.0000000000000000910228890681835,0.0000000000000000409373990559426,-0.0000000000000000115835427061445,0.0000000000000000138777878078145,0.103917783876377,-0.0000000000000000353238005425847,-0.000000000000000370048039337588,0.0230759283096136,0.000000000000000205292400204999,0.143224910073487,0.355752328495854,0.106473462794228,0.148748859827543,0.022225222251007,-0.000000000000000139011262496411,0.158452882921879,0.478014126494133,0.0457276416907181,0.0541060770074752,0.20205543490471,0.27719891542605,0.000000000000000252632090995579,0.000000000000000171606318572949,0.126528534259689,0.094235148532931,0.000000000000000171564328844574,0.000000000000000139046630742994,0,0.279176351824264,0.275313171621522,0.315423552650975,0.000000000000000139368818000719,0.155176937976734,0.150521683551407,0,0.0606991588938666,0.108849691907443,0.294448415275146,0,0.190880538919771,-0.000000000000000000365445766267226,0.0822493593472506,0.210855205713198,0.151303530082967,0.257471056086225,0.292954238836031,0.292255556123485,0.157003166223156,0.122015898919912,0.0313809092651133,0,0,0.0745125708669701,0.0758011439510655,-0.000000000000000229388988567584,-0.000000000000000222044604925031,0,0,-0.000000000000000121944059109842,0.403991649970705,-0.00000000000000016369502613863,-0.00000000000000042275203167573,0.000000000000000111022302462516,0.000000000000000753968454059619,0.00000000000000104937745298321,-0.00000000000000000190144481981787,0,-0.0000000000000000555111512312578,0.0000000000000000183960717039857,0.0225891930459096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FXU",0.146895210897745,0.146895210897745,0.00934715792105928,0.12692607726906,0.0773581538090074,0.0958389982853177,0,-0.00000000000000016203402150557,0.00000000000000015499886431047,0.494405581245952,0.4312457683555,0.330419409094851,0,0.132493680806778,0.273176001882782,0.0000000000000000392868062650335,0.257103952434026,0.344285358751553,0.0000000000000000546040291896017,0.154410348380798,0.187484207267795,0,0.0000000000000000277555756156289,0.00282158247150296,0.117507733743068,0.235381348632228,0.282228275625962,0.366091111648188,0.320970117392141,0.414011659932702,-0.0000000000000000244143361871299,0.0877438746102313,0.0539596950083507,0,0.203948272018801,0.0532729749836091,-0.000000000000000119071096496631,0.197146543987074,0.176724926330539,0.246974114483855,0.1712529332896,0.271548843428392,0,0.11026894204906,0.179769760152634,0.000000000000000000550882344612033,0.298832502877471,0.0249132537692296,0.0132030486315073,0.240568584269595,0.19856171557601,0.226560212640288,0.219835442709542,0.280773787556964,0.321358991486078,0.327448545649645,0.241794618445032,0,0.0356425825963517,0.000000000000000326807068506201,-0.000000000000000154775554433525,-0.000000000000000608359419915229,0.532698869677058,0,0.583780111717652,0.563174649275768,0.547502768840114,0.599895684171495,0.589140342156421,0.0699849465323054,0.426317542982897,-0.000000000000000249156244911124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XLP",-0.0000000000000000200818266025359,-0.0000000000000000200818266025359,0.000000000000000162413119107568,0.0000000000000000842741861967694,-0.000000000000000317927620367127,0.000000000000000477587649998413,-0.0000000000000000277555756156289,0,-0.0000000000000000612720269755693,0.153319051622741,0.039568964113608,0.000000000000000107489944635173,0.145987650944136,-0.000000000000000421554806338856,0,0.275076210305421,0.361468738943876,0.497261758326569,-0.0000000000000000723391338355495,-0.00000000000000000297290451606169,0,0.111838429792541,0.367948273589125,0.204928677403153,0.0000000000000000674435425054271,0.000000000000000036545616062937,0.000000000000000026246591028033,-0.000000000000000235680535116715,0.000000000000000088350412377316,0.000000000000000127512521075095,-0.000000000000000134034060256748,0.127708708062126,0.0000000000000000259211770453292,0.338829357683961,0.407229865729527,0.0582949977244229,0.0356896984331797,0.000000000000000182751003047597,-0.000000000000000024054470359733,-0.0000000000000000470326607442392,0.000000000000000181628961153594,0.212336226671431,0.129724839787513,0.192233508754019,0.000000000000000018891056140636,0.248150143383553,0.00000000000000000854628216144363,-0.00000000000000014776744977964,0.0000000000000001026742390013,0.00000000000000000938377637360998,0.126990144394987,0.384203263142571,0.00000000000000000848948241047769,0.112791469054225,0.000000000000000000118326332228793,0.118826297307444,0.0000000000000000211788841993962,0.0450292392798361,0.0552175557532166,0.0965131758709957,0.0798711999963421,-0.000000000000000235771758231774,-0.0000000000000000592566930803321,-0.00000000000000075882964910584,-0.000000000000000553377548253608,0.000000000000000230333647241617,0.000000000000000647451279898551,0,0.15784178615313,0.0000000000000010814624401194,-0.000000000000000111022302462516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VDC",0.643855172833579,0.643855172833579,0.683945089908351,0.194249038629343,0.537435789980375,0.377818516051615,0.617942503256597,-0.00000000000000000690455949079575,0.00000000000000000719289283300331,-0.0000000000000000608954476999208,0.385634822525084,0.276637750647923,-0.000000000000000318960232833883,-0.0000000000000005052692404924,-0.000000000000000043856619399275,0.178247263643086,0.00933346619356715,0,0.0318461567826632,0.0000000000000000949449845111781,0.0000000000000000214936319595461,-0.0000000000000000100502963865276,0.175688542763932,0.000000000000000186969553690877,0.0656329000584389,0.418100890402129,0.463150496023883,0.548150737335976,0.316190398170301,0.585988340067297,0.568247188064417,-0.00000000000000000601018434675523,0.559375255902195,0.328544112890529,0.0000000000000000337152506120747,0.153663055442137,0.0753504592930625,-0.00000000000000000108704998900876,0,0.142644813159571,0.328666940664788,0.000000000000000624272319379325,0.259920801966052,0.0000000000000000412877913433256,-0.00000000000000012152675648274,0.381198034986736,0.000000000000000230326929605999,-0.0000000000000003405347568759,0,0.145217360446555,0.0000000000000000146049953892603,0.0000000000000000571595370645472,0.337687800976194,-0.000000000000000155936394934918,-0.00000000000000000282113221536184,0.000103815278619288,-0.00000000000000000738858204232941,0.0000000000000000150164038520923,0,-0.0000000000000000266327258638822,0.197527597342141,0.218528434634544,0.293525025336138,0.559289613835846,0.416219888282347,0.000000000000000930252114784136,0.452497231159885,0,0.000000000000000629067847774172,-0.000000000000000823816842083701,0,0.451221203381138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
