"tickers","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"JNJ",0,0,0,0,0,0,0,0,0,0,0,0,1.00943639142728,1.05325114896686,1.2,0.789124004508336,0.762392652528795,0,1.06676312145021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114601398948172,0,0,0,0,0,0,0,0,0,0,0,0,-0.164338698664167,0.137571061774632,0.975143243684746,0.73155428495506,0.791370982980274,0.280626795942478,0,0,0,0,0,0,0,0,0,0.538183141126475,-0.141745933815579,0.181975590139448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328971326588267,0.489185244553682,0.816950458909639,0.624791813462778,0.9750938570458,0.560867988887281,1.12192743339718,0.989539820138049,0.337550999327215,0,0,0,0,0,0,0,-0.00368676310621763,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABBV",-0.0827766408843185,-0.187938333552623,-0.0954026995395911,0,0,0,-0.120513918899116,0.217250213980545,-0.125123918848703,-0.2,0,0,0,0,0,0,0,-0.141975038751716,0.0521906833416435,0.053120096180387,-0.0760747794027577,0.0287027584677507,-0.00731505395144515,0,0,0,0,0,0,0,0,0,0.297460075739279,0.249408352177553,0.079961926019751,0.237893975795518,0.453660126225635,0.171762016722219,0.354407166724314,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324004422742922,0.53133679111286,0.425001410766505,0.214150109195998,0.773316705083701,0.583822971585986,0.45124010465216,0.428093539425577,0.610459660258156,0.360222772162693,0.304814822237489,0.0386005758545592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMGN",0.323874606492849,-0.0088346123785054,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.144480547843846,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.00963456914732252,0.144854842261623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0.22249595511568,-0.0787068892693829,0.167765768169932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USPH",0.183331115391615,0,0.134599828973658,0.120257037862835,0.072249702302858,0.378925074897225,0.0456726017180802,0.0642567803252847,-0.2,-0.2,0,0,0,0,-0.2,-0.2,-0.156247184147359,0,-0.171709179297287,0,0,0,0,0,0.0112681055770469,0.195102004609667,-0.0534437913974303,-0.2,0,0,0,0,0,0,0,0.0379486436995824,0.236247602065421,0.143293237646203,0.77498993108251,0.858493329714741,0.549547391659048,0.454606754077964,0.490170562040867,0.648599107336405,0.512626551350092,0.431132924911524,0.347353705506087,0,0,0,0,0,-0.106619626739748,0,0,0,0,0,0,0.107143384344536,0,0,0.107495262790581,-0.2,-0.2,0,0,0,0,0,0,-0.099115577743124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NRC",0,0,0,0,0,0,0,0,0,0,0,0,0.152902940213753,-0.132659695228254,0.0462220348829216,0.0946854066051276,-0.2,0,0,0,0,0,0,0.037064268731045,0.382903382686033,-0.00773605850169875,0.00511402015221391,0.0924287652183399,0.138540303088152,0.103924692338932,0.0852245062683549,0.307088041414396,0.240934693845361,0.44254271548529,0.170578812448841,0.217993693658158,0.349591452145058,0.144079893309123,0,0,0,0,0,0,0.0840050003098571,-0.00956254332534865,-0.00927450129602623,0.1529474447398,0.133620726916083,0.0999813501721581,-0.0534817183522374,-0.00793762770867426,0,0.556714784481285,0.209160919942839,0.221116686069877,0.263833820192483,0.236856954576718,0.272279987555085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHE",0,0,0,0,0,0,0.0529158255332739,0.445565768837455,0.503397378231652,0.945447273822685,1.2,0.767203192075101,0,0,0,0,0,0,0,0,0,0,0,0.0955064186145124,0.434894966695894,0.28215927756624,1.02012927969158,0.819489161239942,0.338258204202465,0.253649742562939,-0.039401871436848,-0.168588789966046,0,0,0,0,0,0,-0.2,-0.0963202509684047,0.283945754427066,0.135842300625381,0.116770475494161,-0.2,-0.138653683617118,-0.179921747726886,-0.2,0,0,0,0,0,-0.14715487907078,-0.179497486885942,0.215335838479954,0.334295561914982,0.438408378838297,0.525895152803428,0.416442264971778,0.284280832124496,0.440713702513198,0.18342001642288,-0.141096522140898,-0.133439342856278,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQV",0,0,0,0,0,0,0.270283683747582,0.0981999663193972,0.213022258674148,-0.2,-0.2,-0.2,-0.2,-0.2,0,0,0,-0.0856565054279501,0,0.194271899954862,0.120216497188586,0.294485464090233,-0.00481178682681594,0.0458360977521441,0,0,0,0,0,0,0,0,0.147735309599333,0.112205205248747,0.212584645118645,0,0,0,0,0,0,0,0,0,0,0,0,-0.132981095949059,-0.00345941468867727,-0.0359925827441848,-0.2,-0.172973175409648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109984096323986,-0.2,-0.2,-0.2,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.316782744358004,0.346091111567538,0.453384890295707,0.0499521461825367,0.45977447494247,0.425706866376996,0.428818496629193,0.822790615434463,0,0.167425383263315,0,-0.2,-0.2,0,0.363682611201375,0.340899481369022,0.402953105136736,0.462688301672283,0.298521627261894,0.378693844094126,0,0,0.30353938085966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611170336656158,0.355582762097105,0.259719908324046,-0.151521299824264,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.184633014708365,0.200953802138146,0.626959411535658,0.337770331277746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDXX",0,0.05874425540468,0.210645812336787,0.109081357987523,-0.2,-0.2,0,0,-0.120236995056513,-0.0497337369808481,0.176362764260712,0.130123680995336,0.582141216202816,0.879408546261397,0.343807978207586,-0.2,0.130073956867271,0.78350379467562,-0.140305880646706,0.302041876414234,0.673669034969955,0.450810645301715,0.397635182419893,0.124884376410715,0,0.0597972953340387,0,0,0.399712804522102,0,0,0,-0.136466979896535,-0.2,0,0,0,0,0.174512740333549,0.251929746784998,-0.0654288429792204,0.0152665582413204,0.0153313140882154,0.000112373911105148,0,0,0,0,0,0,0,0,-0.0331296474817088,0.340677823677086,0.100737232783147,0.190747386346306,0.269124083612216,0.245280125981563,0.358854253896485,0,0,0,0,0,0,-0.151316027571507,0.268689368354418,0.976133111380911,1.2,0.794198965195971,0.632701961531118,0.64152239543445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
